,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
21879,Staff Accountant,Accountemps,Manchester,New Hampshire,"Ref ID:02600-9732660Classification:Accountant - StaffCompensation:$18.00 to $22.00 per hourAccountemps is partnered with a services company in Southern New Hampshire in search of a Staff Accountant. The ideal candidate should possess a strong attention to detail as well as a background in Accounts Payable and Payroll. Experience in account reconciliation as well as strong Excel skills, is also ideal. This position is a temporary to full time opportunity with a great, growing organization which offers plenty of room for upward mobility. Please call Accountemps at 603-641-9400 for immediate consideration.",Seasonal/Temp,Not Specified
50183,Registered Nurse – Cardiac/Telemetry,Providence Health & Services,Spokane,Washington,"Providence is calling a Registered Nurse to Providence Sacred Heart Medical Center in Spokane, WA. 
We are seeking a skilled Cardiac Telemetry Registered Nurse who appreciates the challenge of caring for patients and families as they guide them through the management of cardiac diseases.
 
In this position you will: 

Assess, plan, implement and evaluate cardiac nursing care needs, taking both physical and psychosocial elements into consideration.
Demonstrate strong teaching and communication skills with patients, family members, and multidisciplinary medical professionals.
Demonstrate critical thinking skills, decisive judgment and the ability to work with minimal supervision in a fast-paced environment.",Part-Time,Not Specified
60812,Private Tutor : Talented Tutors Needed Immediately,Varsity Tutors,Cleveland,Ohio,"Are you a talented tutor seeking new clients? We have them! Varsity Tutors is a rapidly growing, nationally-recognized leader in the tutoring industry. We have won multiple awards and have been featured in many high-profile publications, including US News &amp; World Report, Forbes, and The Huffington Post. Our tutors provide one-on-one, individualized tutoring instruction for PreK-College and adult students in their homes or other convenient locations. We are actively seeking&nbsp;talented tutors to join our growing team.

Immediate openings are available for tutors with expertise in Mathematics (Calculus, Trigonometry, Geometry, Algebra, Statistics, Middle and Elementary levels), Science (Physics, Chemistry, Organic Chemistry, Biology), Test Prep (SAT, ACT, GRE, GMAT, MCAT, LSAT, HSPT, ISEE, SSAT), Foreign Languages (Spanish, Mandarin, French, Latin, German), Reading, Academic Writing, and Early Childhood content instruction.

Current positions are ready to be filled, so please apply online today. It only takes 3 minutes! 
&nbsp;
We offer a competitive hourly rate, flexible locations, flexible scheduling and a large base of clients.We must ask that you not call regarding the position so that our phone lines remain available to our clients.
Only applications through our website will be considered.Tutors are independent contractors with their own unique teaching styles and methods. This is not an application for employment.

",Full-Time/Part-Time,Not Specified
24620,Part Time Counter Sales (Retail),NAPA,Muncy,Pennsylvania," Job Description   NAPA Auto Parts is seeking an enthusiastic and hard-working Counter Sales Representative to join our rapidly growing team of Auto Parts professionals. The Counter Sales Representative is the ideal position for knowledgeable and energetic people who have a passion for automotive parts and believe in taking care of the customer and the power of teamwork. As a Counter Sales Representative, you will primarily be focused on helping customers with their auto parts questions, do-it-yourself projects and auto parts needs.			Bringing customer focus and high energy to our fast-paced stores			Helping other team members when working with customers or finding auto parts			Operating a cash register and navigating computer and paper catalog systems			Working towards continuous improvement with our in store processes and procedures           Qualifications   NAPA's ideal Counter Sales Representative will have strong Know How and experience of all things automotive, and will bring a passion for delivering customer care to the job every day.Other requirements include:			ASE (P2) parts certification, a plus			Excellent verbal and written communication skills			Motivated to train and learn			Ability to thrive and have fun in a busy, fast-paced retail environment			Knowledge of cataloging AND/OR inventory management systems, a plus			Minimum 18 years of age			Valid driver license AND/OR reliable transportation			Pre-employment drug screen and background check    Closing Statement   In the 1920's, America fell in love with the automobile. More and more vehicles began traveling the roads, creating a need for an auto parts distribution system that could keep pace with the demand to keep our automobiles running. In 1925, NAPA was founded to meet those needs. Since then, we've sped our way to become a powerhouse in the auto parts industry. Fueled by the popularity of the automobile, our name can now be seen on over 5,800 stores, 58 distribution centers, and 13,000 NAPA AutoCare facilities across the country, and we're not stopping there.Our 80 years of experience has made us an industry leader, but don't let our age lead you to believe we can't keep up with the changing times. We're not your grandfather's NAPA. As our vehicles become more advanced, we've adapted our business in ways that allow us to stay ahead of the curve. We're constantly updating our inventory of over 500,000 parts, opening new stores, reaching out to customers in new ways, and most importantly, we're hiring new talent to join our ranks.It's an exciting time to join our team and we need people like you to help us accelerate our business into the future. Our growth depends on the dedication and enthusiasm of our employees. At NAPA, we want to continue to expand our presence, but at the heart of our business we just love automobiles. That's probably one of the reasons you're visiting this page. You share our passion to help customers, both retail and wholesale, keep their vehicles running. At NAPA, you'll be part a team that's building on an 80-year legacy of NAPA KNOW HOW, backed by the best employees in the world.We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.  ",Part-Time,Not Specified
68356,Cost Accountant,Accountemps,Arlington,Washington,"Ref ID:03640-110783Classification:Accountant - CostCompensation:$24.00 to $30.00 per hourImmediate opening for Project accountant with 3+ years of cost accounting experience in a manufacturing environment or construction environment. 1+ years recent ERP system experience including perpetual inventory systems, standard cost, bills of materials required. Please submit your resume to [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
46236,"Visiting Professor - OB/Maternal Clinicals - Chamberlain - Houston, TX",Chamberlain College of Nursing,Houston,Texas,"We are interested in developing long-term relationships with superior instructors who have high professional standards, excellent communication skills, enthusiasm and a commitment to providing the finest practitioner-focused education. We are seeking primarily Industry Professionals to share their knowledge and experience with undergraduate and graduate students in a variety of fields.   Courses meet once or twice a week for eight weeks. The face-to-face interaction is blended with technology (such as online discussions and online assignments) for an enhanced learning environment. Commitment is on a course by course basis.",Part-Time,Master's Degree
57953,General Labor,SmartTalent,Renton,Washington,"
SmartTalent is looking for Part Time workers to Stage products to get shipped out. Shift will consist of 4 to 5 hours a day. Monday to Friday. Some Saturdays if needed. Must pass criminal/drug before being on site. If you are interested please email me at [Click Here to Email Your Resumé]
",Part-Time,Not Specified
21142,Chef / Cook,Benchmark Senior Living,Brighton,Massachusetts,"

Chef / Cook

*****Please apply in person*****
PURPOSE
The
Cook prepares food in accordance with current applicable federal, state, and
local standards, guidelines, and regulations with established Benchmark
policies and procedures. The Food Services Director will direct these duties to
ensure that quality food service is provided at all times.
&nbsp;
PRINCIPLE DUTIES AND RESPONSIBILITIES

    Reviews menus
    prior to preparation of food
    Performs
    administrative duties such as completing forms, reports, etc.


    Advises supervisor
    when supplies diminish for reorder


    Assures all dietary procedures are followed. 
    Must be able to operate all kitchen equipment safely
    and effectively.&nbsp; Equipment may
    include: meat slicer, food processor, mixers, ovens, grills, steamers,
    dishwasher, dumb waiter, warmer cabinets.


    Having a presence in the dining room area
    during meals is essential for the purpose of interacting with the
    residents and receiving feedback about their dining experience.


    Organizes walk-in freezer, storeroom, kitchen tables,
    and counters
    Assist chef(s) in taking inventory


    Reviews menus for
    preparation of food
    Assists in establishing food production line to assure
    meals are prepared on time
    Earns and
    maintains Serve-Safe certification


    Represents the
    community with a positive attitude and pride when interacting with
    potential residents and families
    Assists the
    Community Sales Team, lead by the Executive Director, with sales and
    marketing programs and initiatives






FLSA Status:
Non-exempt

",Full-Time/Part-Time,Not Specified
54885,Caregiver / Home Health Aide / CNA,Home Instead Senior Care,Palm Bay,Florida,"


Caregiver / Home Health Aide / CNA



Home Instead Senior Care is looking for caring and compassionate caregivers to become a part of our team and join our mission of enhancing the lives of aging adults throughout our community.&nbsp; Home Instead Senior Care provides a variety of non-medical services that allow seniors to remain in their home and meet the challenges of aging with dignity, care and compassion.

Duties include, but are not limited to:




    Companionship and conversation
    Light housekeeping tasks and meal preparation
    Medication and appointment reminders
    Assistance with grooming and bathing
    Assistance with toileting and incontinence issues
    Alzheimer&rsquo;s Care



*No previous experience necessary - skills training provided by Home Instead Senior Care*



Caregiver / Home Health Aide / CNA


&nbsp;
",Full-Time/Part-Time,Not Specified
30862,Security Officer - Regular,Securitas USA,Chester,California,"			Observes and reports activities and incidents at an assigned client site, providing for the security and safety of client property and personnel.			Makes periodic patrols to check for irregularities and to inspect protection devices and fire control equipment.			Preserves order and may act to enforce regulations and directives for the site pertaining to personnel, visitors, and premises.			Controls access to client site or facility through the admittance process			Patrols assigned site on foot or in vehicle; checks for unsafe conditions, hazards, unlocked doors, security violations, blocked entrances and exits, mechanical problems, and unauthorized persons.			Protects evidence or scene of incident in the event of accidents, emergencies, or security investigations.			Responds to incidents of fire, medical emergency, bomb threat, flooding, water discharge, elevator emergency, hazardous materials, inclement weather, and other incidents.			Prepares logs and reports as required.",Full-Time/Part-Time,Not Specified
31032,Portfolio Administrator,Accountemps,San Francisco,California,"Ref ID:00412-9733926Classification:Portfolio AssistantCompensation:DOEThe Operations Associate is responsible for the reconciliation of equity and fixed income accounts. This includes but is not limited to resolving breaks and exceptions between account system Advent APX and the holdings reported by the various custodians, on a daily basis. This reconciliation must be done accurately to prevent possible risk related to trading and corporate actions. The individual must be a team player, able to work under pressure and meet deadlines. Essential Job Functions 1. Daily reconciliation of Custodial cash and securities to our internal system. 2. Monitor and reconcile cost basis, transfers, account closings and consolidations. 3. Heavy interaction with Portfolio Managers, Client Service, Traders and Custodians. 4. Maintain system by accurately tracking pricing, corporate actions, indices, and system quality control. 5. Ensure department is audit ready and assist in both internal and external audits pertaining to accounts maintained on APX system. 6. Performs other duties and responsibilities as required or assigned by department managers and/or senior associates. If Interested, email [Click Here to Email Your Resumé]",Seasonal/Temp,Not Specified
22609,Registration Desk,OfficeTeam,Baltimore,Maryland,"Ref ID: 02000-134230Classification: Customer ServiceCompensation: $10.36 to $11.21 per hourConference Staff needed to perform ticketing, registration, customer service and data entry for annual event in Baltimore. The successful conference staff will have at least two years experience working on-site at events in the capacity of marketing ambassador, customer service and/or registration. Must possess superb clear communication, a customer service demeanor and a proven track record of problem solving and guest services.",Seasonal/Temp,Not Specified
57734,Sr. Executive Assistant,OfficeTeam,Ventura,California,"Ref ID: 00360-107882Classification: Secretary/Admin Asst - ExecutiveCompensation: $17.41 to $20.16 per hourExecutive Assistant needed to support a growing Ventura company in the Healthcare industry. Will be assisting VP of sales and small sales force. Must have strong critical thinking and problem solving skills. Will be supporting all levels of management and executive team with various tasks. Handling incoming and outgoing electronic communications on behalf of board members including minutes. Must be proficient in Outlooks; will be managing calendars for the management team, scheduling conference rooms, travel research and coordination, filling and record keeping. Coordinating of complex domestic and international travel. Providing support for onsite and off site meetings / special events as needed. General Office support; filing, maintaining mailing lists, maintaining contract agreement and processes. Independently handle all ROIs Communicate effectively as liaison between internal and external customers. Requirements: 5-10 years of Executive level Assistant experience is required Must be proficient in Excel, Word, and Power Point Must be proficient in Outlook. Visio, Adobe, Acrobat, Drop box is a plus Experience supporting a sales team is preferred. Medical field savvy is a plus.",Seasonal/Temp,Not Specified
57596,Supply Chain Internship,Schneider Electric,Middletown,Connecticut,"Supply Chain Internship for our Middletown, PA Distribution and Factory.  Join Schneider Electric and power your career! Discover the opportunity to join an international, dynamic, and responsible company that fosters the development of all its people around the world. Every day, we empower employees to achieve more and experience exciting careers. Find out how our values and unique position make Schneider Electric the employer of choice.",Intern,Not Specified
4586,ASSISTANT MANAGER,Dollar Tree Stores,Kansas City,Missouri,"Assistant Store Managers at Dollar Tree are responsible for the following:Assisting in the realization of your store’s maximum profit contribution Protect all company assets Maintain a high level of good customer serviceOpening and closing the store Creative problem solving in the areas of:Associate Development Maximizing Sales Potential Controlling Expense and Shrink Merchandise Display Store Signage PlacementWhat we need from you:A strong desire to grow within the company Minimum of 3 years prior retail management experience Background in hardlines or variety merchandiseBig box experience a plusStrong productivity management ability in freight processing Strong communication, interpersonal and written skills Ability to work in a high energy team environmentDollar Tree is an equal opportunity employer.",Part-Time,Not Specified
19669,Retail Sales Associate – Part-Time,MarketSource,Ellicott City,Maryland,"Retail Sales Associate - Part-TimeMarketSource is currently searching for a part-time Retail Sales Associate to work within our partner, Target Mobile. This is a part-time position, designed to increase sales and revenue of wireless products and services through direct selling within our partners national retail locations.
Responsibilities:
Sales:

Driving sales productivity and customer satisfaction within Target Mobile retail locations on various Wireless products, accessories and services to customers
Engaging in side-by-side selling with retail associates
Participating in in-store promotions, and coordinating with appropriate personnel
Participating in wireless sales events in Target locations
Positioning Target Mobile's value, including but not limited to:              

Training: 


Maintaining sound knowledge of multiple carriers wireless products and services
Attending requested training sessions and conference calls
Reviewing new product and service offerings from Target


Relationship Development:

Establishing and managing critical relationships within Target Mobile
Developing and managing positive business relationships with retail store management and employees

Requirements:

Must be 18 years or older
Excellent communication skills
Flexibility to work weekends
Proven self-starter
",Part-Time,Not Specified
52339,Hair Stylist (0-Rate),The Ritz-Carlton,New Orleans,Louisiana,"Hair Stylist (0-Rate)We make stories like this possible every day. Whether we're helping a budding chef create a favorite meal, or an anxious dad find a camera full of memories, we're proud to welcome our guests to a home away from home. Because at The Ritz-Carlton, we never forget that we are creating guests for life.The Ritz-Carlton, New Orleans, located at 921 Canal St, New Orleans, LA, 70112 currently has the following opportunity:Hair Stylist (0-Rate) (15000B4M): Provide hair care services such as cut/design, color, and styling to guests. Shampoo, condition, and rinse guests' hair. Examine skin, hair, or nails to evaluate condition, appearance, and appropriateness of scheduled service. Determine and advise guests on proper skin, hair, or nail care and recommend home care regimens. Promote and sell spa/salon services and retail products. Escort guests to and from treatment rooms. Set up workstation and/or treatment room with necessary products, equipment, and supplies to ensure guest comfort and safety. Clean, maintain, and sterilize tools. Monitor and stick to time schedule throughout the day. Handle inappropriate guest behavior by stopping service and informing supervisor/manager. Maintain current licensure in service area. Report accidents, injuries, and unsafe work conditions to manager; complete safety training and certifications. Follow all company policies and procedures; ensure uniform and personal appearance are clean and professional; maintain confidentiality of proprietary information; protect company assets. Welcome and acknowledge all guests according to company standards; anticipate and address guests' service needs; assist individuals with disabilities; thank guests with genuine appreciation. Speak with others using clear and professional language. Develop and maintain positive working relationships with others; support team to reach common goals; listen and respond appropriately to the concerns of other employees. Comply with quality assurance expectations and standards. Stand, sit, or walk for an extended period of time. Move, lift, carry, push, pull, and place objects weighing less than or equal to 10 pounds without assistance. Perform other reasonable job duties as requested by Supervisors.We invite you to learn more about this position and to apply please click on apply now:-Connect with us on social media to keep up to date on The Ritz-Carlton news, learn more about our culture, and engage with the Careers team on Facebook.www.facebook.com/marriottjobsandcareershttp://www.linkedin.com/company/ritz-carltonJoin The Ritz-Carlton Ladies and Gentlemen. The Art and Soul of Hospitality. The Ritz-Carlton is an equal opportunity employer committed to hiring a diverse workforce and sustaining an inclusive culture. The Ritz-Carlton does not discriminate on the basis of disability, veteran status or any other basis protected under federal, state or local laws.",Part-Time,Not Specified
31204,Driver,ISG,Point Mugu NAWC,California,"Position: Truck driver-light truckRate of pay: $14.00 per hourNon CDL - Truck Driver (DOT Medical Examiner's Certificate Required)Requirements:- A minimum of 1 year of professional driving experience- Medical Examiner's Certificate/DOT physical card - Valid Drivers License, vehicle registration, and proof of insurance (for pedestrian and vehicle passes)- High School Diploma/GED-Start is contingent upon clearing a 3 year MVR, criminal background check and a drug screening- Steel Toe Boots- Forklift experience preferred (not required)Duties- Loads and unloads truck and delivers cargo to points specified by customer or supervisor. - Loads, Unloads and operates powered and manual material handling equipment to transport materials and equipment from existing location to truck prior to loading and to specify location after off-loading. - Performs minor vehicle maintenance including changing of components, oil and filter changes and maintains the truck's appearance. Fuels vehicle and maintains records of fuel consumed, mileage traveled, stops, persons contacted and other data as instructed. - Maintains safety equipment assigned to vehicles and requisitions additions or replacements when consumed. - Performs other assigned duties with regard to the movement of materials or equipment, preparation of materials or equipment for packing, transportation, storage or removal from storage. - Performs other duties as assigned. ",Seasonal/Temp,High School Diploma
1966,Cook,Brookdale,Muskogee,Oklahoma,"Part TimeEmeritus at Magnolia Gardens - 3211 Chandler Rd. Muskogee, OK  74403A career with Brookdale has never been more rewarding! Brookdale is the only national full-spectrum senior living solutions company and committed to providing the best options for our over 110,000 residents we serve. The services that we offer ensure residents continue to live the lives that they want while also meeting all of their needs along the way. Every day our associates collaborate to guarantee this promise is fulfilled in more than 1,150 communities in 47 states. Our Senior Living Solutions include: Independent Living, Assisted Living, Memory Care, Skilled Nursing, Continuing Care Retirement, Therapy, Hospice, Home Health, and Personalized Living.More than a company, it is a calling.To learn more about Brookdale and how our associates make a difference: Fulfilling Dreams * Record-Breaking Fundraising for Alzheimer’s * Best of the Best Awards * Brookdale Senior Living Solutions * YouTubeKey responsibilities include: * Maintaining a positive physical and social environment for our residents* Working closely with the Dining Services Director* Ordering food for the community* Preparing and delivering food as well as sanitizing kitchen and equipment* Ensuring food is prepared in a nutritional and appetizing fashion* Maintaining supplies and equipment* Providing excellent customer service to both internal and external customers",Part-Time,High School Diploma
45546,Retail Sales Associate - Showroom Sales - Interior Design Consultant,Art Van Furniture,Chicago,Illinois,"Retail Sales Associate - Showroom Sales - Interior Design Consultant
Art Van Furniture, the Midwest&rsquo;s #1 furniture retailer, is currently hiring high energy, self-motivated Retail Sales Associates for our Naperville, and Downers Grove stores.
If you have a love of home furnishings and interior design and enjoy a relationship selling environment this is the job for you!
Retail Sales Associate - Showroom Sales - Interior Design Consultant
We Offer a Top-Notch Compensation Program!

    Generous, competitive commission plan.
    Average first year earnings can be $40K to $80K; top sales associates achieve $80k+!
    Fully paid Industry Recognized Sales Associate Training Program that includes both extensive product knowledge education as well as training in our proprietary &ldquo;Pure 7"" and &ldquo;GUEST"" selling systems.

Outstanding Benefits &ndash; Medical / Dental / Life &amp; Disability Insurance / 401K Plan / Profit Sharing
Retail Sales Associate - Showroom Sales - Interior Design Consultant
Art Van Furniture is one of the most successful furniture retailers in the nation. We are well known for offering quality and style at an affordable price. We have consistently been Midwest's #1 choice for furniture for over 50 years, known for our beautiful stores and outstanding sales team. We have recently announced that we will be continuing our multi-year expansion and growth.

Because of our success and planned growth, we are seeking experienced and in-experienced Full-Time and Part-Time Retail Sales Associates to join our commission based sales team in Downers Grove and Naperville!!!
Our Sales Associates are the &ldquo;heart and soul"" of Art Van Furniture. Known in the furniture industry as &ldquo;North America's Finest Selling Team"", our sales associates are product experts and style guides who love to help customers find their personal style. If you are an energetic, fashion oriented, career minded individual who is driven to achieve success and enjoys working with customers in a fast-paced environment, this is the career for you!


Responsibilities

    Greet customers and provide a professional and welcoming sales experience.
    Conduct sales consultations, present and discuss home furnishing product options and help customers select home furnishing pieces.
    Market new sales and promotions.
    Research competition in order to gain knowledge of products, pricing and promotions.
    Assist customers in financing, purchasing, and delivery arrangements.
    Follow up with customers on special requests.
    Deliver top-notch service to every customer, build customer loyalty and acquire referrals.
    Increase knowledge of products, sales techniques and promotions through ongoing training, mentoring, and professional development.

&nbsp;",Full-Time/Part-Time,Not Specified
3278,Board Certified Surgeons,U.S. Navy,Mountain View,California,"Board Certified General and Orthopedic Surgeons Wanted - Part Time - Navy Reserve: Part - Time positions at Local Navy clinic in Alameda, Fresno, Sacramento, And San Jose areas. Time commitment is 2 weekends a Year! Opportunities for Humanitarian and disaster relief operations. Benefits include low cost medical insurance, competitive pay, and loan repayment. 

Sign on bonus : Up to $75,000.",Part-Time,Bachelor's Degree
64463,Security Officer in Retail setting,Universal Protection Service,South Plainfield,New Jersey,"Universal Protection Service, the largest retail security provider in the industry, invites you to apply today to be one of our dynamic Professional Security Officers.   At Universal Protection Service, our vision is to be exceptional--to maintain exceptional people, to provide exceptional service and to create exceptional results.  Universal Protection Service seeks passionate applicants who love working with people.We are currently seeking Full and Part Time Security Guards to work at one of our Premier retail locations in South Plainfield, N.J. Available shifts are Monday thru Saturday 5:30 AM to 1:30 PM and 1:30 PM to 10:30 PM, and Sunday 6:30AM to 1:30 PM and 1:30 PM to 8:30 PM. The starting salary for these positions is $12.00 Hourly.The ideal candidate for the Retail Security Officer position is excellent with customers and has an impressive ability to communicate. This is a great opportunity to join Universal Protection Service, a dynamic high-powered security team focused on securing client properties while delivering exceptional customer service.Driving is a requirement in most of our retail locations, you must be 25 or older with no points on your DMV to be cleared for our driving program.The successful Retail Security Officer candidate is responsible for providing security services at assigned locations. Duties include, but are not limited to:Foot, bike or golf cart patrol of interior and exterior areas of assigned locationsExecute security services as outlined in site-specific Post orders and directed by Security ManagementObserve and report suspicious activities and personsWrite detailed narrative reports and maintain daily activity reports (DARs)Enforce rules, regulations, policies, procedures, and respond to emergency situations requiring security assistance",Part-Time,High School Diploma
45705,Receptionist,OfficeTeam,Sterling Heights,Michigan,"Ref ID: 02250-117529Classification: Receptionist/SwitchboardCompensation: $10.10 to $10.10 per hourA mortgage company located in Sterling Heights, is seeking Front Desk Receptionist on a temporary basis (1-2 weeks), to assist with their busy office. The Front Desk Receptionist will be responsible for answering and transferring calls, greeting guests and visitors, light data entry into Excel, and other general clerical duties as needed. The ideal candidate will have excellent communication skills, a friendly demeanor, and a basic knowledge of Microsoft Office software.",Seasonal/Temp,Not Specified
36032,LPN HH,Community Health Systems - Home Care,Clarksville,Tennessee,"Administers nursing care in a home care environment under the supervision of a registered nurse. Participates in the implementation and evaluation of patient care. Ensures the health, comfort and safety of patients.  Relies on experience and judgment to plan and accomplish goals. Performs a variety of tasks. Works under general supervision. A certain degree of creativity and latitude is required. Typically reports to a registered nurse or supervisor.",Per Diem,High School Diploma
24979,"Line Cooks, Servers, Host Staff, Bussers & Dishwashers - Open House 3/16",Red Robin Gourmet Burgers,Silver Spring Township,Pennsylvania,"

&nbsp;from 11:00 a.m. to 4:00 p.m.
at our&nbsp;Silver Spring
location:
6560 Carlisle Pike in Mechanicsburg
Please apply online prior to event.

- LINE COOKS&nbsp;
- SERVERS&nbsp;
- HOST / HOSTESSES&nbsp;
- BUSSERS&nbsp;
- DISHWASHERS
",Full-Time/Part-Time,Not Specified
15736,SOMALI INTERPRETERS AND TRANSLATORS,LanguageLine Solutions,Twin Cities,Minnesota,"LanguageLine Solutions, the world&rsquo;s leading over-the-phone interpretation provider, is seeking to increase its Somali&nbsp;interpreter personnel. 

Work from home the days and hours that suit you best! Our interpreters work from the comfort of their home and it is one of the biggest benefits of being a LanguageLine Solutions interpreter. The U.S. Census Bureau says an average employee spends 1,000 hours a year commuting to and from work. By working at home, our interpreters save time, money, gasoline and have a better quality of life. 

If you have excellent language skills we, will help you become an Over-the-Phone Interpreter. Make a difference in people&rsquo;s lives! 

Work from the comfort of your home! 

We offer: 


&middot;&nbsp;&nbsp;&nbsp;&nbsp; Paid orientation &amp; on-going training 
&middot;&nbsp;&nbsp;&nbsp;&nbsp; No experience necessary-- We help you get started! 


For over 25 years, LanguageLine Solutions has provided telephone interpretation and document translation services to all cultural communities in over 175 languages, 24 hours a day, every day of the year. For that entire time, it has provided a voice for speakers of Asian, American, European, African and the Pacific island languages, as well as for those who wish to provide services to them. 

If you would like to work from home and are proficient in English and Somali language, please&nbsp;APPLY HERE.&nbsp;


Other language speakers are welcome to apply by clicking www.languageline.com/careers



&nbsp;
OPEN UNTIL FILLED --- EEO/AA



",Full-Time/Part-Time,Not Specified
18686,Staff Accountant -- Join a Winning Team!,Accountemps,Portsmouth,New Hampshire,"Ref ID:02610-105200Classification:Accountant - StaffCompensation:$25.00 to $35.00 per hourAccountemps is working with a large, global organization in search of a Staff Accountant on a contract to hire basis. This Staff Accountant will be responsible for performing account analysis, bank/account reconciliations, assisting with month-end close, financial statement prep, and ad hoc projects on an as-needed basis. We are looking for someone with 5+ years of progressive accounting experience, solid computer skills including advanced excel knowledge. If interested, please contact Bobby Gibbons at 603-436-1500 or by emailing [Click Here to Email Your Resumé] right away.",Seasonal/Temp,Not Specified
74875,Accounts Receivable Clerk,Accountemps,Urbandale,Iowa,"Ref ID:01500-129648Classification:Accounts Receivable ClerkCompensation:$16.15 to $18.70 per hourAccountemps is working with an innovative and internationally known company in need of an Accounts Receivable Clerk to fill a temporary to full-time opening. This organization has seen tremendous growth over the years and the need to full-time an Accounts Receivable Clerk to join their Des Moines team is a must. To be considered for this Accounts Receivable Clerk role, you must have an Associate's degree at the minimum, along with 2+ years experience performing accounts receivable and billing duties. The daily role will include posting payments and handling billing. This is a small team environment and a positive attitude along with the willingness to pitch-in is a must. Software experience with Great Plains is needed to be considered for this Accounts Receivable position. This position could pay up to $45,000 on the full-time side for the right experience. If you have the above experience along with education and looking to find a position and organization to call home, call Accountemps today at 515.282.8367",Seasonal/Temp,Not Specified
31692,Certified Nursing Assistant (CNA) - Healthcare Nursing Staff,The Evangelical Lutheran Good Samaritan Society,Brainerd,Minnesota,"

Certified Nursing Assistant (CNA)
As a Certified Nursing Assistant (CNA)you will be responsible for performing duties such as feeding, bathing, dressing, grooming, or moving patients, or changing linens. You may also be responsible for transferring or transporting patients. 

Additional responsibilities of a CNA position include:
� Answering patient call signals, signal lights, bells, or intercom systems to determine patients' needs.
� Applying clean dressings, slings, stockings, or support bandages, under direction of a nurse or physician.
� Assisting nurses or physicians in the operation of medical equipment or provision of patient care.
� Changing bed linens or making beds.
� Cleaning and sanitizing patient rooms, bathrooms, examination rooms, or other patient areas.
",Part-Time,Not Specified
64828,"P/T Branch Office Administrator-Itasca, IL-Branch 02033",Edward Jones (BOA),Itasca,Illinois,"If you think Edward Jones is like every other large investment firm, think again. We are a leader in the financial-services industry, but we take a personal approach to business, an approach that starts with a face-to-face meeting between a financial advisor and client.We believe that building long-term relationships with our nearly 7 million clients is key to serving their needs. Whether it's in the United States or Canada, we're located in the communities where our clients live and work because that's the best way to get to know them and help reach their financial goals.Do you enjoy working on your own while interacting with a variety of clients? Would you like the stability and support of a large organization in a small office setting? Is it important to feel like you are making a difference? Then the Edward Jones Branch Office Administrator (BOA) may be the perfect position for you.This position requires that you possess the following skills: Client ServiceCommunicationInitiativeOrganizationContinuous LearningEach global Edward Jones branch office is run by a Financial Advisor with the support of the Branch Office Administrator and our headquarters locations in St. Louis and Tempe.Here's a more detailed look at your day:Client Service: Putting client needs first is deeply rooted in our culture and at the core of everything we do. In providing excellent client service you will: Prepare for appointmentsProvide market information or quotes to clientsRespond to client inquiries on administrative questionsOffice Administration: Assisting the Financial Advisor in managing the branch office to exceed firm, client and regulatory expectations includes: Effective communications with the Financial AdvisorManagement of phone calls and walk-in clientsOrdering supplies and processing expensesAccount Processing: Ensuring client accounts are processed accurately and efficiently is crucial to satisfying clients. Activities include: Opening, closing and transferring accountsProcessing trade and other transactionsProcessing retirement or estate accountsBusiness Development: BOAs must support the Financial Advisor in developing the branch through: Mailings for marketingFollow up with prospective clients and clientsImplementing client seminars and promoting credit card services.Self Development: BOAs have the opportunity and are expected to take advantage of developmental opportunities. Examples include: Learning your role through online state of the art e-learningKeeping up with system and regulatory changesAttending regional and firm activities.You will play an important role to the success of your branch office. Your payoff is competitive salary and benefits with opportunities for bonuses and ownership in the firm. You will also work regular hours that balance well with your life outside of work. Search our current openings now.",Part-Time,Not Specified
54377,Retail Sales Associate – Verizon Wireless Retail Consultant,Wer-Wirelesss,Ship Bottom,New Jersey,"If you are a personable and self-motivated individual and you are looking for a rewarding new career path with an established and growing company, join the We R Wireless team! We are seeking a Retail Sales Associate to sell and service Verizon Wireless phones, accessories and service-based technology products in our high-traffic retail outlet. You will utilize your customer service skills and expert product knowledge in order to develop long-lasting relationships with our customers and to maximize store profitability. This is an exciting opportunity to get in at the ground floor of a dynamic and growing business!
&nbsp;
Benefits 
&nbsp;
As a Retail Sales Associate at We R Wireless, you will be working for an established and growing organization that prides itself on providing its employees with a supportive family environment that encourages personal initiative and professional growth. We will provide you with paid Verizon product training and one-on-one mentoring to prepare you for your new career with us. We believe in promoting from within, so you will have opportunities to advance to positions of greater responsibility such as Store Manager. Your hard work and professional dedication will be rewarded with a competitive compensation package.
&nbsp;
You will receive

    Competitive commission structure plus hourly base pay
    
    Performance based incentive contests
    
    Paid training
    
    Flexible work schedule
    
    Excellent career development opportunities 

&nbsp;",Full-Time/Part-Time,High School Diploma
